"LOCATION","Country","VAR","Variable","EDI","Edition","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2019-Q3","Q3-2019","NATCUR","National currency","0","Units",,,515987000000,,
"AUS","Australia","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2019-Q4","Q4-2019","NATCUR","National currency","0","Units",,,518738000000,,
"AUS","Australia","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2020-Q1","Q1-2020","NATCUR","National currency","0","Units",,,517582000000,,
"AUS","Australia","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2020-Q2","Q2-2020","NATCUR","National currency","0","Units",,,482606000000,,
"AUS","Australia","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2020-Q3","Q3-2020","NATCUR","National currency","0","Units",,,501211000000,,
"AUS","Australia","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2020-Q4","Q4-2020","NATCUR","National currency","0","Units",,,518161000000,,
"AUS","Australia","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2021-Q1","Q1-2021","NATCUR","National currency","0","Units",,,528819000000,,
"AUS","Australia","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2021-Q2","Q2-2021","NATCUR","National currency","0","Units",,,532228000000,,
"AUS","Australia","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2021-Q3","Q3-2021","NATCUR","National currency","0","Units",,,521934000000,,
"AUS","Australia","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2021-Q4","Q4-2021","NATCUR","National currency","0","Units",,,541870000000,,
"AUS","Australia","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2022-Q1","Q1-2022","NATCUR","National currency","0","Units",,,544242000000,,
"AUS","Australia","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2022-Q2","Q2-2022","NATCUR","National currency","0","Units",,,548995000000,,
"AUS","Australia","101","GDP: Total, constant prices","202212","December 2022","Q","Quarterly","2022-Q3","Q3-2022","NATCUR","National currency","0","Units",,,552547000000,,
"AUS","Australia","102","GDP: Private consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2019-Q3","Q3-2019","NATCUR","National currency","0","Units",,,269937000000,,
"AUS","Australia","102","GDP: Private consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2019-Q4","Q4-2019","NATCUR","National currency","0","Units",,,271152000000,,
